Date,Ticker,Market Cap,P/E Ratio,Price to Book,ROE (%)
2026-06-17,TLKM.JK,292150587686912,18.01,2.18,14.21
2026-06-18,BBCA.JK,746473167781888,12.89,2.88,22.97
2026-06-18,BMRI.JK,417200003350528,7.13,1.37,21.04
2026-06-18,BBNI.JK,138967861166080,6.85,0.86,12.03
2026-06-18,GOTO.JK,53100509396992,N/A,1.66,-3.29
2026-06-18,TLKM.JK,274384690348032,16.91,2.04,14.21
2026-06-19,BBCA.JK,774120342028288,13.37,2.99,22.97
2026-06-19,BMRI.JK,402266670497792,6.88,1.32,21.04
2026-06-19,BBNI.JK,136732448129024,6.73,0.85,12.03
2026-06-19,GOTO.JK,53100509396992,N/A,1.66,-3.29
2026-06-19,TLKM.JK,254644785774592,15.7,1.9,14.21
2026-06-22,BBCA.JK,764904617279488,13.21,2.95,22.97
2026-06-22,BMRI.JK,393866653990912,6.73,1.29,21.04
2026-06-22,BBNI.JK,130026225795072,6.4,0.81,12.03
2026-06-22,GOTO.JK,53100509396992,N/A,1.66,-3.29
2026-06-22,TLKM.JK,247735810785280,15.27,1.85,14.21
2026-06-23,BBCA.JK,752616984281088,13.0,2.9,22.97
2026-06-23,BMRI.JK,384533320957952,6.57,1.26,21.04
2026-06-23,BBNI.JK,127790821146624,6.29,0.79,12.03
2026-06-23,GOTO.JK,53100509396992,N/A,1.66,-3.29
2026-06-23,TLKM.JK,250696788082688,15.45,1.87,14.21
2026-06-24,BBCA.JK,728041718284288,12.58,2.81,22.97
2026-06-24,BMRI.JK,370533338185728,6.34,1.21,21.04
2026-06-24,BBNI.JK,123692566708224,6.09,0.77,12.03
2026-06-24,GOTO.JK,53100509396992,N/A,1.66,-3.29
2026-06-24,TLKM.JK,246748807168000,15.21,1.84,14.21
2026-06-25,BBCA.JK,740329351282688,12.79,2.86,22.97
2026-06-25,BMRI.JK,373333321318400,6.38,1.22,21.04
2026-06-25,BBNI.JK,124810273226752,6.15,0.77,12.03
2026-06-25,GOTO.JK,53100509396992,N/A,1.66,-3.29
2026-06-25,TLKM.JK,246748807168000,15.2,1.84,14.21
2026-06-26,BBCA.JK,758760800780288,13.11,2.93,22.97
2026-06-26,BMRI.JK,372400004792320,6.37,1.22,21.04
2026-06-26,BBNI.JK,123692566708224,6.09,0.77,12.03
2026-06-26,GOTO.JK,53100509396992,N/A,1.66,-3.29
2026-06-26,TLKM.JK,244774816710656,15.08,1.82,14.21
2026-06-29,BBCA.JK,728041718284288,12.58,2.81,22.97
2026-06-29,BMRI.JK,367733321498624,6.29,1.2,21.04
2026-06-29,BBNI.JK,121457162059776,5.98,0.75,12.03
2026-06-29,GOTO.JK,53100509396992,N/A,1.66,-3.29
2026-06-29,TLKM.JK,237865858498560,14.66,1.77,14.21
2026-06-30,BBCA.JK,681963161649152,11.78,2.63,22.97
2026-06-30,BMRI.JK,359333338546176,6.14,1.18,21.04
2026-06-30,BBNI.JK,117731479257088,5.8,0.73,12.03
2026-06-30,GOTO.JK,53100509396992,N/A,1.66,-3.29
2026-06-30,TLKM.JK,231943887126528,14.3,1.73,14.21
2026-07-01,BBCA.JK,688106911039488,11.88,2.66,22.97
2026-07-01,BMRI.JK,355600005332992,6.08,1.16,21.04
2026-07-01,BBNI.JK,115496074608640,5.69,0.72,12.03
2026-07-01,GOTO.JK,53100509396992,N/A,1.66,-3.29
2026-07-01,TLKM.JK,240826835795968,14.83,1.79,14.21
2026-07-02,BBCA.JK,712682177036288,12.32,2.75,22.97
2026-07-02,BMRI.JK,363999988285440,6.22,1.19,21.04
2026-07-02,BBNI.JK,118104050892800,5.82,0.73,12.03
2026-07-02,GOTO.JK,53100509396992,N/A,1.66,-3.29
2026-07-02,TLKM.JK,241813839413248,14.9,1.8,14.21
2026-07-03,BBCA.JK,743401259532288,12.85,2.87,22.97
2026-07-03,BMRI.JK,374266671398912,6.4,1.23,21.04
2026-07-03,BBNI.JK,121084590424064,5.96,0.75,12.03
2026-07-03,GOTO.JK,53100509396992,N/A,1.66,-3.29
2026-07-03,TLKM.JK,248722797625344,15.33,1.85,14.21
2026-07-06,BBCA.JK,752616984281088,13.0,2.9,22.97
2026-07-06,BMRI.JK,376133338005504,6.43,1.23,21.04
2026-07-06,BBNI.JK,122202296942592,6.02,0.76,12.03
2026-07-06,GOTO.JK,53100509396992,N/A,1.66,-3.29
2026-07-06,TLKM.JK,244774816710656,15.09,1.82,14.21
